event_date,ticker,mention_count,avg_tone,rolling_mean,rolling_std,z_score
2024-07-15,GS,935.0,0.1802405815047394,577.8,155.5737767106009,2.2960167680731005
2024-08-05,GS,1263.0,-2.2963194260781656,620.3,191.13998300577575,3.3624571368753307
2024-08-19,GS,1238.0,-2.1849378174788643,606.0666666666667,221.34104334999483,2.855021028947129
2024-09-11,GS,1123.0,-0.8068554767496383,633.2333333333333,202.4748061523625,2.4189017684408434
2024-10-15,GS,1009.0,0.2234882360211217,528.2333333333333,182.7437782955876,2.6308237202419433
2024-01-23,JPM,840.0,1.3382047877802197,475.82608695652175,146.11223960115328,2.4924257819712716
2024-01-24,JPM,905.0,1.3036343360282978,493.7083333333333,167.61614510973956,2.4537711829453595
2024-01-28,JPM,1203.0,1.3756769176496604,540.9285714285714,216.76834000267016,3.0542810290620537
2024-05-02,JPM,1094.0,1.3833441682718095,655.1,163.4837016024998,2.684671289540271
2024-07-12,JPM,809.0,1.3021801492627876,549.7,100.09001121404437,2.590668108183963
2024-07-25,JPM,841.0,1.1061144602901474,583.3333333333334,121.19614576019487,2.12603020542006
2024-07-26,JPM,953.0,1.5314994918423703,597.1,138.3469775849712,2.5725173488622843
2024-08-31,JPM,921.0,1.524788823570799,581.9,152.8728004042846,2.2181840007066165
2024-09-02,JPM,985.0,1.450878432380909,601.6333333333333,174.37523616759842,2.198515540923477
2024-10-11,JPM,866.0,1.1083427928700893,451.6,197.54468721855247,2.097753201236593
2024-10-17,JPM,840.0,1.4687853341446475,438.96666666666664,197.9122904537349,2.0263184889322536
2024-01-15,KO,5.0,-0.6202184741016268,0.7142857142857143,1.3827826698682306,3.099340466946034
2024-02-01,KO,3.0,1.9944433791776732,0.6,1.1325893433586842,2.1190381262839892
2024-02-07,KO,9.0,2.182884442147309,0.9333333333333333,1.9106477207072157,4.221953937003539
2024-03-26,KO,2.0,6.80529300567108,0.3333333333333333,0.8022955570857543,2.0773724245970406
2024-04-22,KO,2.0,0.2542068182696105,0.2,0.5508613944197485,3.267609635080773
2024-05-15,KO,2.0,3.957007904376325,0.3333333333333333,0.6064784348631234,2.748105407973522
2024-05-25,KO,2.0,0.5720702282306851,0.36666666666666664,0.6149478998583788,2.6560515674734178
2024-07-04,KO,1.0,4.41849602989257,0.13333333333333333,0.3457459036417614,2.506657801402756
2024-07-09,KO,1.0,0.510855683269476,0.16666666666666666,0.3790490217894526,2.1984843263788147
2024-07-12,KO,1.0,5.42797494780793,0.16666666666666666,0.3790490217894526,2.1984843263788147
2024-07-24,KO,4.0,0.1881484086513092,0.23333333333333334,0.7738543627276675,4.867410262300505
2024-10-05,KO,1.0,1.88383045525903,0.13333333333333333,0.3457459036417616,2.5066578014027545
2024-10-08,KO,1.0,1.48148148148148,0.13333333333333333,0.3457459036417616,2.5066578014027545
2024-10-16,KO,2.0,3.2121079504011703,0.16666666666666666,0.46113303737741496,3.975714565497156
2024-10-18,KO,6.0,-0.1694705146642765,0.36666666666666664,1.1591713250937243,4.859793553707734
2024-11-04,KO,5.0,1.915033554855246,0.7666666666666667,1.501340397280293,2.819702541143966
2024-11-26,KO,4.0,2.962962962962965,0.6,1.1626367179523598,2.924387254849557
2024-12-01,KO,4.0,0.1389179816599148,0.6666666666666666,1.3217891045025336,2.5218344756956226
2024-01-16,MSFT,88.0,0.9999814628935704,30.625,22.243725707114205,2.579379046274149
2024-01-30,MSFT,102.0,0.9818280388723858,37.833333333333336,24.6031723961367,2.608064750086554
2024-01-31,MSFT,129.0,0.5478272557623942,42.03333333333333,28.841401435811143,3.0153412225899623
2024-04-25,MSFT,97.0,0.4535246680815977,39.46666666666667,20.72934507229875,2.7754534999862037
2024-04-26,MSFT,146.0,1.0606890618238052,42.86666666666667,28.43229505859226,3.6273305802714777
